"['-1.7693870767093212', ' -0.8460164272960151', ' 0.5534737237068844', ' 1.8703358874300287']","['-1.8133210106900062', ' -2.3602846275855365', ' -1.98182238750905', ' -0.4721725842355035']","['0.40750881492947255', ' 0.8992262468033351', ' 1.909293447861917', ' 0.7356027461878615']","['1.9100375843927693', ' 1.045651158944131', ' 0.5428003387806436', ' 0.1371033075460577']","['1.9251124748613964', ' 1.634097183138999', ' 0.5103132343254394', ' 2.1276938207885956']","['1.0018328960752336', ' 0.8209451490134135', ' 0.49295765921184925', ' -0.8600332985100363']","['0.13362468773147332', ' 0.055888058958342354', ' -0.2736495305870298', ' -0.3932043731639428']","['-0.28255814116254524', ' -0.3760625100493803', ' -0.02034860759700484', ' -0.351702426845183']","['0.7378421207748456', ' 0.4384662613411774', ' 0.3049287052925835', ' 1.3331808535790062']"
"['-1.4055174774860502', ' -0.6911114364000454', ' 0.7440878384552371', ' 1.2474256917496822']","['-0.026621046954879424', ' -0.5316670039033113', ' 0.0013192753905164006', ' -0.34798696214947006']","['-1.4350009413919396', ' -0.7282224030068567', ' -0.5248749187373318', ' 1.2104761846227803']","['1.3387302440816307', ' 2.0965756460880485', ' 1.4564411383052498', ' 1.8159102094790525']","['0.14047444618679988', ' 0.20958580924824546', ' -0.3659672283860792', ' 0.7209786086264836']","['-1.5157344559859716', ' 0.7402950808685818', ' 1.0339715484742709', ' 0.9447310738511135']","['1.3889577901609504', ' -0.962699556025926', ' -0.8874920703628499', ' -0.3564548857880382']","['0.5477018423054313', ' -1.2493056358122854', ' -1.5551093749175522', ' 0.45996949007215926']","['0.4764015942351867', ' 1.2107511947980663', ' 0.31405063464015426', ' 1.7670033574217225']"
"['-1.9868350458313664', ' -1.6844277096874127', ' 0.8161461602220704', ' 2.754061096242589']","['-1.089759752091456', ' -2.207532392521735', ' -2.7608117732551456', ' -2.591513981691664']","['-0.9192274745242264', ' -0.7632114513692343', ' 1.3791263780141505', ' 0.34815867302522385']","['1.1579381339659198', ' 0.9357415239220588', ' -0.11822471582443099', ' 0.37240425501858254']","['0.2081166635662756', ' 0.4402915090869426', ' -0.16857145964962114', ' 1.0730059403996304']","['-1.5415022499247344', ' 0.2508894375528509', ' 0.3741189757047029', ' -0.4726622273816923']","['1.2217604344414916', ' 0.17926762334259508', ' 0.2825422551674496', ' 0.2486757920231381']","['1.1024768284501252', ' 0.022395159492562697', ' -0.5972710584667138', ' -0.4046032928593437']","['0.1596298872426569', ' 0.8132621224526029', ' 0.6796749476959262', ' 0.5414795747261483']"
"['-1.9210310437473752', ' -1.6589280825846728', ' 1.8898980614079288', ' 2.909990236023741']","['1.956403241263512', ' -1.538284569942586', ' -2.455132687872598', ' -1.617744249621548']","['-1.323831221196595', ' -1.3293507066727215', ' -0.7040885876426779', ' -1.0690178386274183']","['2.6474609650532828', ' 1.7784632925274693', ' 0.8112665810966225', ' -0.0848292806684599']","['-1.0476761252885505', ' 0.12117937882690082', ' 1.2822742810782126', ' 1.2398205778872806']","['-2.1309404400811967', ' 1.8544635472109736', ' 0.3206366263869016', ' -0.3984891761185211']","['-0.12069588924176979', ' 0.32843575231274597', ' 0.35020763872419747', ' 0.5421327394219697']","['1.6618648165442038', ' 0.12596227784135297', ' 0.2686166762352445', ' 0.11216772015503117']","['0.6862984970929159', ' 1.172351371925493', ' 0.2492729020480786', ' 0.9645632370606745']"
"['-2.145224287900145', ' -1.2505026426813088', ' 1.150751612243008', ' 2.0097944789023434']","['-0.3628145799326261', ' 0.03090625271809046', ' -0.30435795253441067', ' -1.4615551081152058']","['-1.62208066511497', ' -0.516371265010574', ' 0.5541572074656235', ' 0.2928967477400351']","['1.0953794943924475', ' 1.0039952676248862', ' 1.4335201205244832', ' 0.288162886919897']","['1.3740212413265227', ' 0.26291908979604217', ' -0.19390677283290256', ' 1.0850197358373013']","['-1.7922371024473962', ' -0.9208733468322172', ' -0.1367305496725716', ' 0.1229950526853232']","['-0.38145328266919887', ' -1.1368124341536372', ' -1.395987110136939', ' -0.05209698708112333']","['0.9507863942140443', ' -0.12019837497787758', ' -0.3858024508920852', ' 0.2556906919024629']","['0.24075491010824202', ' 0.9225262997097397', ' 0.9770436717182114', ' 1.3619519599113876']"
"['-1.635337214866647', ' -1.0727393897703534', ' 1.300275260186844', ' 2.256131916768156']","['0.47702447932714176', ' -2.8909194595746244', ' -0.9830095246891573', ' -1.2636145964114345']","['-1.0773920597058009', ' -0.1851983277277621', ' 0.3943875888051425', ' 0.17649072186243006']","['1.7315421536259614', ' 0.33103876833419466', ' 1.3618359311853212', ' 1.328678789194728']","['-0.782714435866577', ' 0.16507860728896143', ' -0.17470078603489853', ' 0.5783366097529755']","['-2.2685059153493947', ' -0.4379543122314298', ' -0.26375762318898266', ' -0.024743796824963034']","['0.6636295121254117', ' 0.13483099598324852', ' -1.0023719189557967', ' -0.3744946046894504']","['0.7465197785720001', ' 0.14846616876185192', ' 0.15964194498836917', ' -0.006594487050878348']","['0.6903253634487262', ' 0.5319787031641233', ' 0.8819973125093414', ' 0.9445946196073238']"
"['-1.828743684440718', ' -0.9753951882119146', ' 1.210070307301764', ' 2.8093922009341763']","['0.38130461808575644', ' -0.27076646745495986', ' -0.9039126737424588', ' -1.1322460710339621']","['-2.107684267632264', ' -0.21609021399645229', ' 0.17456804088257352', ' -0.05028063217636707']","['0.5788890693214956', ' -0.033382279701914826', ' -0.6891219103891889', ' -0.3148737218828626']","['0.3451358460906831', ' -0.22737608001158985', ' 0.1931254770092814', ' 1.3667540005953775']","['-0.37759172911823835', ' 0.09251568595433578', ' -0.3646479146476774', ' -0.40004787218596305']","['0.8972002586626338', ' -0.2738233973187173', ' 0.195102864156818', ' 1.743037808812839']","['-0.8152014877818196', ' -0.7139550409423262', ' -0.34075378207838347', ' 0.0991570260149986']","['0.37167476345029393', ' 0.3316781948705635', ' 0.5264827581016416', ' 0.7527350036370115']"
"['-1.2635397778754909', ' -0.7838229910414477', ' 1.2274028175843188', ' 1.723291172595132']","['-0.23554341974554616', ' -1.5783859407653758', ' -2.2056134866743786', ' -1.5895927062370283']","['-1.500864883554006', ' -0.29261239266372246', ' -0.30151458354715555', ' -0.06802635207638347']","['0.2621819238368905', ' -0.6991725599312503', ' -0.809416583010735', ' -0.7275352625583295']","['3.2334922555059498', ' 2.2085738943207547', ' 0.7490446356855891', ' 2.4181454019525046']","['-1.210987060601006', ' -0.18910889940028425', ' -0.7689020141258299', ' -0.5770791369615824']","['0.566450047733833', ' -0.049367974763872294', ' 0.18371819770605197', ' -0.13143286115638805']","['-0.31796772561799774', ' -0.6209455850990638', ' -1.0611274619535744', ' -0.06437100995868555']","['-0.5808917180680687', ' 0.7264199305394673', ' -0.16204094187601806', ' 1.179868382995167']"
"['-2.0185299549042526', ' 0.21697565036564165', ' 2.9927430886172433', ' 2.767072682420754']","['-1.1222734067696307', ' -2.6497567205061068', ' -2.0742381738966427', ' -1.4303465077247737']","['-1.221614088262867', ' 0.6826463333128076', ' -0.4500179062505661', ' 0.2213761791177235']","['1.7367680595735349', ' 0.53078520066376', ' -0.13898134936496645', ' 0.11305353302221759']","['0.9092252989198378', ' 0.15856291477427362', ' 0.9477613665855316', ' 1.6944577180148968']","['-0.006513990503274274', ' 0.6038703071227313', ' -1.4634099342981228', ' -0.8234818123241877']","['0.5313390915544389', ' 0.158619235469967', ' 0.6514503881990725', ' 0.6317598032410209']","['0.25170317157451755', ' -0.41563815644921154', ' -0.3357754332238647', ' -0.5673224354944154']","['0.905202944813207', ' 0.7102412044240737', ' 0.8879370255591718', ' 1.1102615248487364']"
"['-2.1518363440669073', ' -0.32732753645465384', ' 1.4926658409380134', ' 1.9415537792380853']","['0.6110346025202484', ' -1.954483368200097', ' -0.3322585234024142', ' 0.048218621562616304']","['-1.0805267401161538', ' 0.3476478406012694', ' 0.778324731206156', ' 0.6001542837824237']","['1.04727487005041', ' 0.6008252030521984', ' 0.5876511306347901', ' 1.226553231054514']","['1.541066344549091', ' 0.1941027334504257', ' 0.2910423543795928', ' -0.011025428724416973']","['-0.6805749773222916', ' 1.221493003915395', ' -1.242558728541891', ' -0.09583232003503758']","['-0.17177160618041604', ' 0.10875398867519089', ' -0.6096830184404198', ' -0.6827701367320201']","['-0.9205715102072689', ' -1.0978571956681182', ' -0.5784766403896192', ' -0.5907999368224428']","['0.5190033053879652', ' 0.7004190791432778', ' 1.0283201291667332', ' 0.9151284569690796']"
"['-0.9758265425652104', ' -0.39081656933895065', ' 1.1012719100662451', ' 1.9769629346517894']","['-0.15475247705494294', ' -0.8824703196883735', ' 0.5673009531534595', ' -0.19677178603419726']","['-2.45945508106881', ' -1.1487098509639044', ' 0.4564745449187758', ' 1.5044043715193969']","['0.7239230428992224', ' 0.2983349792632578', ' 0.7526313517969023', ' 2.1519075563300207']","['1.1135163375118342', ' -0.9294898341587641', ' -0.4342843373458327', ' -0.8953353202608796']","['-0.5276662855414316', ' -0.8199617217224564', ' -0.6313560636541601', ' 0.7626035773242112']","['1.3604119077951633', ' -0.029052463148368873', ' -0.617164714543983', ' 0.4112821711059353']","['0.5386317757803741', ' -1.5094937494365532', ' -0.9302186287808931', ' 0.2058595547030062']","['0.19655859884193363', ' 1.0603732044943406', ' 1.048925407922642', ' 1.2274342943001368']"
"['-2.089779730633566', ' -2.2662024308123674', ' 0.9816244107046135', ' 1.0380626667961395']","['0.9994330751425768', ' -0.23034747132726224', ' -1.0669926277522908', ' -1.3200890022663248']","['-0.7140239055070853', ' 0.35595275124660564', ' 2.0202478811061493', ' 1.500446787454491']","['2.617263120920337', ' 1.1362738749153454', ' 0.7918096277910835', ' 0.15536761087343912']","['-0.13405557090536194', ' -0.7100440689646107', ' -0.8476849411783336', ' -0.25655875582581084']","['-0.6449533716370927', ' 0.7568747536577192', ' -0.24723588500701937', ' -0.1694034130878885']","['1.9612887386390903', ' 1.7811533616709518', ' 1.048532319592718', ' 1.8751157032462749']","['1.3755082720886875', ' -0.04672893482207303', ' 0.6105901990020777', ' 0.8656747646509716']","['-0.3792117442021398', ' 0.3276977183472427', ' 0.940314756521942', ' 2.045185301502706']"
"['-2.054364406541757', ' -1.859979278579342', ' 1.651653156509001', ' 2.6413261974837243']","['0.03091471052762081', ' -1.8379927064903732', ' -0.9106543236142688', ' -1.156364663626314']","['-1.3516056144796003', ' 0.6827524757215803', ' 0.3404982185913277', ' 0.11523968504240696']","['1.1356318822154634', ' 0.6636761068366758', ' 0.45303143126531165', ' 0.08282128938098468']","['1.5290029176497526', ' 0.11069986406319293', ' 0.33401391442615247', ' 1.2522086182018628']","['-2.2501386051261276', ' 0.358616986007613', ' -1.135426667204836', ' -1.3395864362409051']","['0.5858707560735953', ' 0.42935143664574227', ' 0.06328225195015794', ' 0.858531909875999']","['0.0457101009079976', ' -0.7060833214392643', ' -0.907227597981416', ' -0.46319906640164277']","['0.4430549431303162', ' 0.892446970825999', ' 0.5427296500404802', ' 1.2484438155793676']"
"['-1.0537148411885868', ' -1.7111745905877056', ' 0.6629087139626689', ' 2.0527470619687693']","['0.4826914976344271', ' -0.9446875118788696', ' -0.9949002938623017', ' -0.6557603603495534']","['-2.365050110304531', ' -1.1869246536882063', ' -0.613640269556699', ' 0.029946576010357683']","['0.2347232307343391', ' 0.20043646069583884', ' -0.5134817730669728', ' -0.40998191457822003']","['1.1194462315660638', ' -0.42996051318257505', ' 0.016555147720149217', ' 0.20751900377636157']","['-1.658474230374406', ' -0.47149939509378547', ' -0.6819963195484403', ' -0.6335515100083764']","['1.9103654003669701', ' 0.8321485736753149', ' 0.5368783422968001', ' 1.4095512811609552']","['0.384569843227345', ' -0.7119801151346007', ' -0.585742538121962', ' -0.7097455881234568']","['-0.2763887818120862', ' 1.1729629731026627', ' 0.38950271979666967', ' 0.3594322276826113']"
"['-1.5467761538391454', ' -1.754431729978743', ' 0.4042161313912214', ' 1.3170640744761632']","['1.2358363762723537', ' -0.4668811090979733', ' -0.8103255689638278', ' -0.2831424331144404']","['-1.667821311319148', ' 0.41428483885371975', ' 2.1607599599782077', ' 1.4181362605734038']","['3.1428729392953687', ' 1.4070828888650004', ' 1.090541298339613', ' 0.5717528518993499']","['-1.2656976145593328', ' 0.24473158031338574', ' -0.710583494808132', ' 0.27648224575267605']","['0.43773810747956343', ' 3.066693710663383', ' 1.7584277486610373', ' 0.8935985553276216']","['0.7615409310784252', ' -0.666769056917019', ' 0.36921455111681406', ' 1.334162931182949']","['0.5841071275181969', ' -1.0890558682735119', ' -0.31208095100923344', ' -0.05482549486131511']","['0.2683700653636639', ' 0.878147793815489', ' 0.5716760439044415', ' 1.0848986737699209']"
"['-1.0390845782286378', ' -2.1515225162897464', ' 0.8412068726042513', ' 1.6588563795151345']","['0.7470909548209752', ' -1.3596976956877882', ' -1.827041009177003', ' -1.6860624232333141']","['-1.3666506319052107', ' -0.7533764778808306', ' 0.6145155853037109', ' 0.9456666300401736']","['0.2158959115493431', ' 0.5029286799598927', ' -0.3298123946280969', ' -0.5954130259875345']","['0.8010282182896432', ' 0.8523344943360529', ' 1.8868758805385157', ' 0.9647253218811468']","['-1.8361971077209127', ' -0.3526112259681013', ' 0.25989153036709406', ' -0.4847553157274648']","['1.1624480571944802', ' 1.208309883253185', ' 0.6369225777300132', ' 0.9434967814564611']","['0.08742129757302426', ' -1.1728659367952496', ' -1.1313465554044557', ' -0.46383754447684256']","['0.5422372381655337', ' 1.2073429157458127', ' 0.29798859115468773', ' 1.114884798350734']"
"['-1.350614251013157', ' -0.799247973633114', ' 1.0487047724693621', ' 2.728140492721547']","['-1.399731290612266', ' -1.5615011066454956', ' 0.5401424960876504', ' -2.370713175375258']","['-2.1674987655472475', ' -0.6723074647065582', ' 1.6588130403675625', ' -0.6728120012475558']","['-0.3723378586016357', ' 0.777653202276354', ' -0.6883702662178441', ' -1.1322415417528966']","['1.7037637529558587', ' 1.3693962014278198', ' -0.6236178853357947', ' 1.6941391450161858']","['-1.294083038352328', ' 1.1707835293659448', ' -0.22445654749092625', ' -0.564417583335125']","['1.369274707949846', ' -0.01427455979732688', ' 1.3460177201468835', ' 1.3060059721980448']","['0.07716075500250702', ' -1.306607161411453', ' -0.5056298581460391', ' -0.7107890305822305']","['0.14839104066583592', ' 1.0534054602986371', ' 0.3138457993731455', ' 0.8681373089914358']"
"['-2.0175246489761767', ' -2.4068969755978173', ' 1.3393838066657338', ' 2.150027651764337']","['-0.184250506939797', ' -1.4296438620646235', ' -0.7079519076997842', ' 0.740207883894623']","['-1.2336202097724602', ' 0.2636577417739825', ' 0.8988984112979991', ' 0.712042356682101']","['2.0347378924429904', ' 1.3280107060956663', ' 0.6627107978229828', ' 1.0847056835719637']","['1.523858458556146', ' 0.0869534310165646', ' -0.19281385113216', ' 0.26106871144436694']","['0.8463599818137384', ' 1.5600310245090987', ' 0.977120206395387', ' 1.1625006288779276']","['-0.13653032929555342', ' 0.49683654696882984', ' -0.19320060348535684', ' 0.5389178409102866']","['0.9468809419196', ' -0.11728363973536175', ' -1.0256993967891643', ' -0.6985509378066479']","['0.5696884474356095', ' 1.2275894979330169', ' 0.46245759851727575', ' 0.42981962662954']"
"['-1.8881505953704045', ' -1.5421622874975909', ' 1.0966169754143895', ' 1.5290583143051606']","['0.09948231927171045', ' -1.9413032642644021', ' -1.8844443053690945', ' -2.1105918113452495']","['-1.8576536931649605', ' -0.8677701124531153', ' 0.6917614163508463', ' 1.31858193567274']","['0.43401473932788026', ' -0.6011552007322183', ' -0.4115699627155778', ' -0.33367232643510536']","['0.7021443905063566', ' 1.151332114259599', ' -0.08529630916718027', ' 0.08034895157108206']","['-1.9182118885952726', ' 0.6174302920483993', ' -0.18825494382490995', ' -0.5170021808982167']","['1.6687816574347156', ' 1.2951016288465758', ' 0.9157440841951374', ' 1.0174774289292676']","['0.7220182957504275', ' -1.1820789474226725', ' -0.6765160550849066', ' -0.22159953180231806']","['-0.13689420676631806', ' 1.2438221201730184', ' 0.18340287202369673', ' 0.658656714102875']"
