"[-1.7061544069981305, -1.0078881688256982, 0.34655511600531297, 1.5554718233609024]","[-1.833879174522031, -2.409362618191777, -2.3271928942073883, -0.7965476766890625]","[0.7505360274005409, 0.8488921241997918, 1.5762602478335943, 1.2184489766879905]","[1.6556680545992135, 1.0459193751574647, 0.4647832298832931, 0.2521309900527402]","[2.222628540722235, 1.5654172692833557, 0.689750889519368, 1.6194423932634137]","[1.094536212069664, 0.9744910739788937, 0.5657289387463945, -0.6235277012127863]","[-0.02062386775050988, 0.1277242495917156, -0.24833439662062526, -0.3535918279174264]","[-0.31751423979165894, -0.36143203513243344, -0.21522890363165717, -0.32590910832802716]","[0.6654022769789397, 0.48473784043954954, 0.24156778755927266, 0.7164312303193551]"
"[-1.241302155600551, -0.7498507291869926, 0.5440983932595684, 0.9209136692301906]","[-0.06676046851550335, -0.25780424323931894, -0.054827435926531595, -0.09819164822674184]","[-1.5089940869628504, -0.6623831791791304, -0.17844378440486236, 0.5688216298483375]","[1.151047304664806, 2.135806731598982, 1.7544466873948708, 2.0384185400199404]","[0.4434238736923848, 0.1874358694942627, -0.6284167774095331, 0.16917912224426462]","[-0.8520321668667525, 0.6999706466277837, 0.7635057477731804, 1.5023887811746746]","[1.072016296856564, -0.3474638036742962, -0.7922137338598494, -0.6567063003780379]","[-0.019659959856970527, -0.9313607427233332, -1.223254278181972, -0.9281775837612477]","[0.4367655449017459, 0.9548344659052693, 0.21046605324272, 0.061664372418247224]"
"[-1.6719956250017642, -1.3654291768735591, 0.8988307081192641, 2.4065280557782467]","[-1.14079047132813, -2.77330677524147, -3.074722361173563, -2.8665813588785922]","[-1.3468465734666097, -0.8147297281442027, 0.9793721069544853, 0.7083332317640789]","[1.102663797987428, 0.9979145134598522, 0.04308924619176908, 0.3509749998939946]","[0.3915988887648876, 0.752366254395364, 0.3575643080164662, 0.9969018404337489]","[-1.3793947847775512, 0.7735940654508084, 0.49840740314827975, -0.07787997621474801]","[1.1122467625233874, 0.12891364885626913, -0.0642564682525362, 0.15066679530820987]","[0.9953402183298625, -0.250554230154837, -0.6131411992689008, -0.3630071612544984]","[0.16618071476906954, 0.9525982036542884, 0.5632879246178922, 0.5090086233643385]"
"[-1.890496416078447, -1.665646010422064, 0.7751434308988903, 2.791730903004123]","[1.755288211834987, -1.3565262914516805, -2.421979896605733, -2.019510131832725]","[-1.7887583073235407, -1.3657336921506733, -0.5435342221454029, -0.9613162050834076]","[2.693612470090112, 2.0710393057426373, 1.3213636573548235, 0.16265559735210647]","[-0.8615563486867256, -0.032361094934646784, 1.2103556690698147, 1.2072736134591318]","[-1.3147290319629081, 1.5202010247083275, 1.0804883104252383, -0.38088768287896646]","[-0.11306183130125068, 0.30658886620875336, 0.1998070408561245, 0.8447950363374331]","[1.2996598927052483, 0.3033684781356554, 0.3569930420740252, 0.3642897933788096]","[0.7479244385213656, 1.2824049842694702, 0.5516153252388395, 0.5050134234320061]"
"[-2.392105560812671, -1.641698602366343, 0.5246574154252093, 1.8085411216598135]","[-0.22889191730110087, 0.11780230249991261, 0.33320548989387927, -1.5406484270080822]","[-1.1503914599842417, -0.6207481927046693, 0.3808730324796587, 0.5729187741078886]","[1.0619630981580859, 1.1321557858852522, 1.7247109400516987, 0.9139128345242129]","[1.406476027576165, 0.2596245786812531, 0.8800603506594658, 0.6606630476702475]","[-0.7659845610021787, -0.3418488503616789, 0.9688231039877381, 0.41527913288898427]","[-0.5420124424285795, -1.1827727875876743, -1.7061234554674138, -0.5245872787226328]","[0.718932897869478, -0.08735894639811484, -0.5649005934144363, 0.0188887383028941]","[0.21816910997628697, 0.9471039816096481, 0.7083793198598181, 0.5363282996494538]"
"[-1.9012127128801073, -1.1260997571237845, 1.1135996418347296, 2.105959887842146]","[0.0920943088414589, -2.767962288392511, -1.0416701932641923, -1.056348904214435]","[-1.315745789661524, -0.31455643013620904, 0.20197494069398889, 0.25026235252015216]","[2.2165591863074954, 0.679174462261023, 1.1145880322921822, 1.2992137182467294]","[-0.5317514319168942, -0.30844167341612616, -0.25818300247861514, 0.29383576386012117]","[-1.2299981570452563, -0.3378443691595009, -0.37527249465310647, -0.04134737493494063]","[0.8081977836026164, 0.11265579529039416, -1.1669390724768791, -0.5156325269966751]","[0.6314980749243986, 0.1114237338085157, 0.03336129616116807, 0.27441789945409606]","[0.42617881854500916, 0.6828323960032178, 0.6641862550504343, 0.9687318632331238]"
"[-1.6289513126217703, -0.6863776770097451, 1.0629803088239986, 2.567124594961706]","[0.28036032137848504, -0.8464446278480147, -1.4224201425629242, -0.9809465794255593]","[-1.7054342133487719, -0.37449787899768144, 0.3039141725366822, 0.04184898135604439]","[0.8860727891883343, -0.4099310320991032, -0.6696464083927787, -0.37367068733908715]","[-0.12344697316374613, -0.19776322660501272, 0.3009465716557667, 1.1083145316806318]","[-0.10201723580988213, -0.28980613252199533, -0.41007856551314265, -0.341961185523125]","[0.6154576357526746, -0.09088818433754961, 0.1253126964606059, 1.450431491838087]","[-0.7895262132901582, -0.8297530407632122, -0.3180236142275601, 0.016877479035491784]","[0.018133401803103376, 0.4696762671238749, 0.48360086074689834, 0.532468744702481]"
"[-1.379626396246705, -1.015527764376205, -0.044176150030984705, 1.3282223021988828]","[-0.3050913112023717, -1.3432784311259252, -2.3044706753474666, -1.9469216530118683]","[-1.3778566168021271, -0.6765981208751889, 0.07359887439261843, -0.1646135431099608]","[0.25548516378792696, -0.71718230950747, -0.5538648701259489, -0.5934550656327092]","[3.320576841979607, 2.661092887912721, 0.9947396957876604, 0.9942476347063113]","[-0.8698224262354918, -0.14951703289727278, -0.0039588658675556165, -0.7313130537592513]","[0.3382788546514484, 0.07359259101491476, 0.016908212182258037, 0.08418687475854632]","[-0.4052485341842395, -0.8500162335246874, -0.9583745449659515, -0.8866876682356218]","[-0.2125420729723868, 0.5500790749991981, 0.28037237755648237, 0.1848931332463202]"
"[-2.1030212829936565, 0.6904120009491065, 2.546670471201221, 3.101847974683448]","[-2.6414620383992804, -2.6189294541127803, -2.4386135388715027, -1.6223852886918653]","[-0.5289697334775298, 0.6550598055195052, 0.18249115981057443, -0.3086209504800257]","[1.0651140655286726, 0.6450806824665067, 0.0027323894551241623, 0.23782898797555588]","[0.21152257617904158, 0.5105100977060953, 0.7161420153081804, 1.1692370937061136]","[0.2887013998625276, 0.39305721484199585, -1.361262057036425, -1.1971698300269964]","[0.9409422686398891, 0.1550660891687252, 0.5120352584574, 0.49906607028036076]","[-0.0721141909914639, -0.36887952057166934, -0.2318862174104443, -0.5643383907310195]","[0.7627814749350174, 0.3901037214152414, 0.5661815517139706, 0.9454593158690908]"
"[-1.6497496081606187, -0.26317296713338767, 1.3664640423161118, 2.018316693821837]","[0.4016419368201028, -1.8283449741935698, -0.899864356315267, 0.038321665816543456]","[-0.8425886647331303, 0.41866333520943194, 0.43213456115083293, 0.5391341471220416]","[1.07936280135379, 0.626334163125963, 0.5684316515591257, 1.1792397021939518]","[1.6093694810972552, 0.18999399074579074, 0.2538550696478236, -0.061125516762076115]","[-0.5512956235017983, 0.8163025919680704, -1.055014835911612, -0.3711483301403186]","[-0.0464790864899283, -0.0005029569257257264, -0.5390466328410141, -0.7318524839535655]","[-0.9068375680713824, -1.0417009837617832, -0.6110369360244391, -0.6332274163897128]","[0.6011956424469576, 0.7835171067972152, 1.1100924358627522, 0.7263169553068026]"
