"['-1.7693870767093212', ' -1.6056343717020927', ' -0.6141040250734755', ' 0.37135415164539093', ' 1.45918907954099', ' 1.8703358874300287']","['-1.8133210106900062', ' -2.073424481334874', ' -2.7083987840051096', ' -2.288616860543421', ' -0.9236243453573134', ' -0.4721725842355035']","['0.40750881492947255', ' 0.9165975814277026', ' 0.8072225878216348', ' 1.6319098352213', ' 1.2848050746596964', ' 0.7356027461878615']","['1.9100375843927693', ' 1.2147787001860193', ' 0.9112456098638073', ' 0.31850554822560767', ' 0.15244957834780548', ' 0.1371033075460577']","['1.9251124748613964', ' 1.9618712149401216', ' 1.113799225130235', ' 0.4033028077687279', ' 1.5089964117049446', ' 2.1276938207885956']","['1.0018328960752336', ' 1.1950274515024368', ' 0.7951349235973381', ' 0.5013935083146172', ' -0.6540834779117289', ' -0.8600332985100363']","['0.13362468773147332', ' -0.07335719183714462', ' 0.14525399125313235', ' -0.24028115468630623', ' -0.34545008368206026', ' -0.3932043731639428']","['-0.28255814116254524', ' -0.33589812464833063', ' -0.25918937466692005', ' -0.2747922756623075', ' -0.3382457766673352', ' -0.351702426845183']","['0.7378421207748456', ' 0.7558401315982226', ' 0.3670486052872475', ' 0.25072802707865005', ' 0.6519928219144782', ' 1.3331808535790062']"
"['-1.4055174774860502', ' -1.0073258920925134', ' -0.5132359417955759', ' 0.12268089974797854', ' 0.9887373229500416', ' 1.2474256917496822']","['-0.026621046954879424', ' -0.8562016114681935', ' -0.35282033567860677', ' -0.31236410887744853', ' -0.04608338570563076', ' -0.34798696214947006']","['-1.4350009413919396', ' -1.7232672235760178', ' 0.22708561202472333', ' 0.021855057837804084', ' 1.2251395252185893', ' 1.2104761846227803']","['1.3387302440816307', ' 1.4787838088449545', ' 1.810623982620744', ' 1.687409096741981', ' 2.1361993546941758', ' 1.8159102094790525']","['0.14047444618679988', ' 0.5175764820144364', ' -0.004324378148686777', ' -0.8928902492079268', ' 0.3435922093928042', ' 0.7209786086264836']","['-1.5157344559859716', ' -0.09871290033890366', ' 0.5007643735763774', ' 1.3333520244168184', ' 1.6862179149571639', ' 0.9447310738511135']","['1.3889577901609504', ' 0.9369092740514924', ' -0.7412951354790555', ' -1.2119147297676163', ' -0.802335195565184', ' -0.3564548857880382']","['0.5477018423054313', ' -0.06943190547497566', ' -1.0381315304864889', ' -1.271859784851709', ' -0.6653606052629749', ' 0.45996949007215926']","['0.4764015942351867', ' 0.9199126523402987', ' 1.1803417696085627', ' 0.624636517000218', ' -0.33675793788615815', ' 1.7670033574217225']"
"['-1.9868350458313664', ' -1.6454239334025622', ' -1.2028101716308395', ' 1.0237276888259537', ' 2.190841955513143', ' 2.754061096242589']","['-1.089759752091456', ' -1.3615150904030426', ' -3.392593804796784', ' -3.4377091528724377', ' -3.002428417009761', ' -2.591513981691664']","['-0.9192274745242264', ' -1.178389145901656', ' -1.200036287524451', ' 0.5328869601479305', ' 0.903317895881527', ' 0.34815867302522385']","['1.1579381339659198', ' 1.1244681158288146', ' 1.060849445196674', ' 0.22139234517444037', ' 0.3817061854352354', ' 0.37240425501858254']","['0.2081166635662756', ' 1.0490775724512773', ' 0.9912912887232436', ' 0.6965311331400948', ' 0.8278232379918377', ' 1.0730059403996304']","['-1.5415022499247344', ' -0.6273419809605418', ' 1.2970032643484952', ' 0.8382817016313738', ' 0.11068194263045848', ' -0.4726622273816923']","['1.2217604344414916', ' 0.5630308318583022', ' 0.11230859114825949', ' -0.5199158758444784', ' 0.015608207860282079', ' 0.2486757920231381']","['1.1024768284501252', ' 0.5353153705282767', ' -0.7892880335085498', ' -0.7461455705338101', ' -0.269640766442028', ' -0.4046032928593437']","['0.1596298872426569', ' 0.224760310880151', ' 1.1294099099669668', ' 0.4188550470208374', ' 0.5685913729269401', ' 0.5414795747261483']"
"['-1.9210310437473752', ' -1.7857637245509683', ' -1.0927052462165967', ' 1.1433429358811955', ' 2.794570456867529', ' 2.909990236023741']","['1.956403241263512', ' 0.6419639601793253', ' -2.2378591666135783', ' -2.2292979880920734', ' -2.0804132974206166', ' -1.617744249621548']","['-1.323831221196595', ' -1.8899524644277756', ' -1.3489267314760152', ' -0.5368790509784509', ' -1.125818007137879', ' -1.0690178386274183']","['2.6474609650532828', ' 3.1323158987023736', ' 1.4541495067586432', ' 1.0983744214210986', ' 0.2184217845796094', ' -0.0848292806684599']","['-1.0476761252885505', ' -1.0035009844754783', ' 0.5512548590522526', ' 1.221211218918469', ' 1.4105649014407515', ' 1.2398205778872806']","['-2.1309404400811967', ' -0.45166397304887507', ' 2.0186282414544885', ' 0.5168262808663968', ' -0.3725087852538663', ' -0.3984891761185211']","['-0.12069588924176979', ' -0.029089415025331296', ' 0.3208369951935507', ' 0.13771748387896132', ' 0.8500677954110112', ' 0.5421327394219697']","['1.6618648165442038', ' 0.7739200177476638', ' 0.2717001271421827', ' 0.23684529589937214', ' 0.46284789504598295', ' 0.11216772015503117']","['0.6862984970929159', ' 1.446070219521178', ' 1.2646930454343759', ' 0.48562033785843706', ' 0.5090101356888789', ' 0.9645632370606745']"
"['-2.145224287900145', ' -2.5030613857134165', ' -0.48676484378180174', ' 0.8849949167526109', ' 2.0751474587359566', ' 2.0097944789023434']","['-0.3628145799326261', ' -0.34745077632813554', ' 0.3357190267298296', ' 0.3295875222459357', ' -1.9625169896337307', ' -1.4615551081152058']","['-1.62208066511497', ' -1.0262092598324248', ' -0.4396399607191171', ' 0.40831067379852537', ' 0.48184547518023046', ' 0.2928967477400351']","['1.0953794943924475', ' 0.7436704220246432', ' 1.2300551269258155', ' 1.5751745411502658', ' 0.6711945462826171', ' 0.288162886919897']","['1.3740212413265227', ' 1.0879056544941266', ' 1.025374480781288', ' 0.07151767100602899', ' 1.01155209748364', ' 1.0850197358373013']","['-1.7922371024473962', ' 0.28449287154407027', ' -0.5927396651583646', ' -0.06772089698066172', ' 0.29813749010114055', ' 0.1229950526853232']","['-0.38145328266919887', ' -0.8625654831703676', ' -1.0047187900270556', ' -1.7930159106266275', ' -0.26241882228142904', ' -0.05209698708112333']","['0.9507863942140443', ' 0.1517943724563236', ' -0.2377441724549102', ' -0.5338542936823398', ' 0.10218374585333488', ' 0.2556906919024629']","['0.24075491010824202', ' 0.43428825332592735', ' 0.926704534293025', ' 1.1523991962139224', ' 0.47354116295237936', ' 1.3619519599113876']"
"['-1.635337214866647', ' -1.738699675483047', ' -0.9211338480427529', ' 1.2742244936613305', ' 2.0319402194693077', ' 2.256131916768156']","['0.47702447932714176', ' -0.8634380737755776', ' -3.106009870965847', ' -1.0652925631557018', ' -1.1906661277196968', ' -1.2636145964114345']","['-1.0773920597058009', ' -0.8993937653559294', ' -0.1875187845710754', ' -0.07144778017905555', ' 0.29234309433080535', ' 0.17649072186243006']","['1.7315421536259614', ' 1.774553779432931', ' 0.6752749740664938', ' 1.2814167248838235', ' 1.3851978425346818', ' 1.328678789194728']","['-0.782714435866577', ' -0.6549176131946226', ' -0.16890121954755669', ' -0.16683759423843267', ' 0.11153890971458186', ' 0.5783366097529755']","['-2.2685059153493947', ' -0.4123610214260199', ' 0.3027834149251936', ' -0.08652857346446106', ' -0.23940364145853846', ' -0.024743796824963034']","['0.6636295121254117', ' 1.2690485990145526', ' -0.21277391069736623', ' -1.3533635112662854', ' -0.7995463672171098', ' -0.3744946046894504']","['0.7465197785720001', ' 0.4457181894844732', ' -0.23822551762655944', ' -0.30861218229672743', ' 0.364660628519788', ' -0.006594487050878348']","['0.6903253634487262', ' 0.23548993521906136', ' 0.5317199168126362', ' 0.3226054318047474', ' 0.7745910375273584', ' 0.9445946196073238']"
"['-1.828743684440718', ' -1.2338512890945377', ' -0.2988126884605737', ' 0.7762283301897023', ' 2.43414803200709', ' 2.8093922009341763']","['0.38130461808575644', ' -0.43161563851372425', ' -1.476926276781842', ' -1.8101172061347937', ' -0.8943541641434207', ' -1.1322460710339621']","['-2.107684267632264', ' -1.4319558092393136', ' -0.5860006661777715', ' 0.5915936615889814', ' 0.3256051832251135', ' -0.05028063217636707']","['0.5788890693214956', ' 0.5723412366615589', ' -0.7067129944558711', ' -0.6005401796373434', ' -0.2523456783589498', ' -0.3148737218828626']","['0.3451358460906831', ' -0.26562384353279533', ' 0.015056790394201066', ' 0.3172946324692999', ' 0.7127140440875767', ' 1.3667540005953775']","['-0.37759172911823835', ' -0.23091195088786548', ' -0.26162109434657305', ' -0.5882473216066038', ' -0.37080003107162307', ' -0.40004787218596305']","['0.8972002586626338', ' 0.702397789303186', ' -0.20701754826415786', ' -0.004897991241769008', ' 1.2402145528586508', ' 1.743037808812839']","['-0.8152014877818196', ' -0.7718825583019232', ' -1.0535615243278251', ' -0.29994288406480357', ' 0.017658021552212234', ' 0.0991570260149986']","['0.37167476345029393', ' -0.28825717642501875', ' 0.4911188745588189', ' 0.5201481792398175', ' 0.15858413486796386', ' 0.7527350036370115']"
"['-1.2635397778754909', ' -1.3534181051576346', ' -0.7636270008597478', ' 0.8818277206967269', ' 1.4272610797392709', ' 1.723291172595132']","['-0.23554341974554616', ' -1.0996709663246151', ' -1.754289917018372', ' -2.075325374076151', ' -1.5999379391682103', ' -1.5895927062370283']","['-1.500864883554006', ' -1.0101100108475893', ' -0.14046323541716882', ' 0.030253938694260425', ' 0.07288344738464483', ' -0.06802635207638347']","['0.2621819238368905', ' -0.6405476291571706', ' -0.7520572204671334', ' -0.45477344833869365', ' -0.3028472914100017', ' -0.7275352625583295']","['3.2334922555059498', ' 2.937126121089904', ' 1.836642997425521', ' 0.6363186798268046', ' 1.3291232727533666', ' 2.4181454019525046']","['-1.210987060601006', ' -0.026151329467618157', ' 0.019325422933741097', ' -0.6775047134102719', ' -0.5948528532681255', ' -0.5770791369615824']","['0.566450047733833', ' 0.26240407475582966', ' 0.03304293986027384', ' -0.10432002245294282', ' -0.08385782119811638', ' -0.13143286115638805']","['-0.31796772561799774', ' -1.078039654630905', ' -0.7676924701727849', ' -1.0442017460940296', ' -0.711426085011448', ' -0.06437100995868555']","['-0.5808917180680687', ' 0.4299324059649507', ' 0.6913785210320988', ' -0.07757091308047992', ' 0.46013579309444846', ' 1.179868382995167']"
"['-2.0185299549042526', ' -0.9480688643421243', ' 1.9885772255754435', ' 2.3769133445930284', ' 3.102769551007915', ' 2.767072682420754']","['-1.1222734067696307', ' -3.321628548897125', ' -2.329220107475121', ' -2.4152125750386877', ' -1.8217300784773303', ' -1.4303465077247737']","['-1.221614088262867', ' 0.49857446876337574', ' 0.46100644687045156', ' 0.48696812333568495', ' -0.39026254367320407', ' 0.2213761791177235']","['1.7367680595735349', ' 0.9097100412287553', ' 0.4712566268819271', ' -0.04646641357209032', ' 0.018050423324156118', ' 0.11305353302221759']","['0.9092252989198378', ' 0.9142544846245223', ' 0.6324523968530693', ' 0.9290034034216115', ' 1.0155018052283755', ' 1.6944577180148968']","['-0.006513990503274274', ' 1.3062441736414778', ' -0.625729179635597', ' -1.3144307676353157', ' -1.4016577627573032', ' -0.8234818123241877']","['0.5313390915544389', ' 0.20793359757105437', ' 0.053645018862032476', ' 0.563821242201838', ' 0.5163844677759766', ' 0.6317598032410209']","['0.25170317157451755', ' -0.40998269120398095', ' -0.2571262053375098', ' -0.07837235446532019', ' -0.5652736874092252', ' -0.5673224354944154']","['0.905202944813207', ' 0.4895970142110794', ' 0.3025595125188367', ' 0.7560931411242706', ' 0.9106809467521091', ' 1.1102615248487364']"
"['-2.1518363440669073', ' -0.8635420704228781', ' 0.2752539418432761', ' 1.3346505440987557', ' 1.9930659770911139', ' 1.9415537792380853']","['0.6110346025202484', ' -0.3759643549353666', ' -2.1940651516335845', ' -1.1428505945970056', ' 0.01912484141926405', ' 0.048218621562616304']","['-1.0805267401161538', ' 0.3108837427387227', ' 0.5691569838659127', ' 0.6827838523441695', ' 0.43266328596124676', ' 0.6001542837824237']","['1.04727487005041', ' 0.8188775152280116', ' 0.6316700553934014', ' 0.3480949436007719', ' 1.1043023301516357', ' 1.226553231054514']","['1.541066344549091', ' 0.7956866463084423', ' -0.3992567344032611', ' 0.426602666725946', ' -0.2528018006332494', ' -0.011025428724416973']","['-0.6805749773222916', ' 0.2690135022562451', ' 0.05091297227247911', ' -1.2245937519333527', ' -0.8782690805504815', ' -0.09583232003503758']","['-0.17177160618041604', ' 0.3764542016466983', ' -0.12653408653630052', ' -0.29850806404637575', ' -0.831453878461478', ' -0.6827701367320201']","['-0.9205715102072689', ' -0.8608106918009476', ' -0.7568680880001666', ' -0.5084186832023472', ' -0.6237110340592835', ' -0.5907999368224428']","['0.5190033053879652', ' 0.504967664829585', ' 0.8959224432640597', ' 1.0314602286604015', ' 0.7651245104899571', ' 0.9151284569690796']"
